stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
222,1241,"Fletcher at Miller Bay",,47.643025,-122.565603,,,,,,0
223,1245,"Central Valley & Bucklin Hill",,47.647787,-122.650421,,,,,,0
224,1246,"Winslow & Halls Brothers",,47.624975,-122.524122,,,,,,0
225,1247,"Winslow & Halls Brothers",,47.624870,-122.523771,,,,,,0
226,1248,"Port Orchard Transit Center",,47.542591,-122.635696,,,,,,0
228,125,"Perry Ave at Sunrise",,47.594941,-122.613459,,,,,,0
229,1250,"Central Valley & Bucklin Hill",,47.647694,-122.650238,,,,,,0
230,1251,"Bremerton Fast Ferry Dock",,47.561679,-122.622932,,,,,,0
231,1256,"Anderson Hill Rd & Bucklin Hill Rd",,47.649001,-122.698301,,,,,,0
232,1258,"Bucklin Hill Rd & Randall Way",,47.650414,-122.696458,,,,,,0
233,126,"Perry Ave at A&C Tavern",,47.593402,-122.613512,,,,,,0
234,1264,"Highway 104 at Parcells",,47.808581,-122.517973,,,,,,0
235,1266,"Southworth Dr at Nokomis Rd",,47.512221,-122.509435,,,,,,0
236,1268,"Southworth Dr at Nokomis Rd",,47.512092,-122.509317,,,,,,0
237,1269,"Southworth Dr at Level Lloyd",,47.512210,-122.502943,,,,,,0
238,127,"Perry Ave at Franklin",,47.592359,-122.613494,,,,,,0
239,1270,"Southworth Dr at Level Lloyd",,47.512081,-122.502747,,,,,,0
240,1271,"S Kitsap Blvd at Pottery",,47.522384,-122.654140,,,,,,0
241,1273,"Pacific Ave at Puget Sound Navy Museum",,47.563309,-122.626623,,,,,,0
242,128,"Perry Ave at Perry Ave Mall",,47.589737,-122.613621,,,,,,0
243,129,"Sheridan at Perry Ave Mall",,47.588366,-122.615257,,,,,,0
244,13,"Old Wheaton Way at Wheaton Professional Building",,47.584919,-122.626944,,,,,,0
245,130,"Schley at Sheridan",,47.587913,-122.618920,,,,,,0
246,1308,"Kingston Ferry Dock",,47.793988,-122.495485,,,,,,0
247,1309,"Kingston Ferry Terminal",,47.796076,-122.496226,,,,,,0
248,131,"Schley at Callahan",,47.585519,-122.619034,,,,,,0
249,1310,"Bayside Church P&R",,47.799094,-122.508357,,,,,,0
